"Country Name","Country Code","Indicator Name","Indicator Code","yr1960","yr1961","yr1962","yr1963","yr1964","yr1965","yr1966","yr1967","yr1968","yr1969","yr1970","yr1971","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014",
"Dominica","DMA","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","495.434876626752","608.445285801706","591.224263764071","784.72506680462","878.509304673335","958.544202045688","1069.24313731616","1210.64672318767","1338.74502232629","1534.73566716569","1745.9118107003","2003.912076825","2152.86027014107","2344.94444062804","2546.78307174984","2701.67172747427","2814.66912406432","3018.82048217945","3139.22447462273","3323.36941316005","3473.64855476319","3676.51662531493","3830.22997928913","4819.89995383923","4925.62969151111","4837.63193388561","4997.16258013915","5329.13579612909","5250.35256117448","5627.07282186699","6058.18050552848","6614.96958211262","7026.99995617906","6926.8475973831","7122.00835448409","7181.72555681623","7175.62694147003","",
"Denmark","DNK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1364.51716017255","1503.53701342816","1681.0299129876","1775.37038468789","2013.24307693268","2243.93159483536","2443.2597913502","2644.7866468916","2712.61240033933","3068.23674114413","3421.98991212862","3792.59972247025","4601.00619293213","6065.3967595513","6719.24066457622","7954.97416200709","8753.24976310324","9760.67737242082","11810.033036028","13740.9671937247","13833.1235195613","11984.0137619734","11707.4102582442","11768.6552543478","11478.4429324171","12167.4543547969","17146.7043568866","21289.1634859163","22441.0873870034","21799.278140899","26861.7995866878","26960.9770963882","29526.1666015122","27553.1220287366","29992.2214710745","35351.3807065346","35650.7243420099","32835.9287666102","33368.1548509045","33440.8016200638","30743.5591735847","30751.6494603843","33228.6929087101","40458.7706402839","46487.8252905874","48816.7544606487","52041.1925806061","58501.1293605445","64181.6064948008","57895.8612130625","57647.9250160657","61303.9294881868","57636.1253095393","59831.6955615115","",
"Dominican Republic","DOM","GDP per capita (current US$)","NY.GDP.PCAP.CD","203.032229116115","190.994778523796","232.775634060095","257.171133630596","271.458454094772","227.746913453608","244.616643777106","249.583705570338","252.653612155282","279.848179235652","328.343800295187","358.234392866441","415.728524859302","477.588729826168","580.594152462723","696.361981302915","745.753992144991","844.995944587014","858.813468894814","966.13962498926","1138.22940188458","1218.87275316979","1305.49142390193","1381.64664651832","1618.77843525811","773.270236244216","918.35197640155","855.686426085407","772.8449261632","941.904827124035","976.335504004855","1315.45823949746","1495.63194640574","1687.83522168269","1852.24278344086","2050.45949356402","2233.37521270717","2373.095063966","2522.62737307359","2545.65479857474","2769.8823219873","2829.19244639114","2973.65714541478","2344.5339196874","2407.18927993517","3635.70681222282","3794.07333976696","4584.31743706284","4937.73104023773","4844.97412152817","5295.39969025388","5729.9599619899","5870.76904389778","5878.99672094992","",
"Algeria","DZA","GDP per capita (current US$)","NY.GDP.PCAP.CD","241.505258572595","210.60812897833","168.971971698247","222.719296396266","233.810109937585","245.576991361758","231.645176638319","249.757435617607","277.391418609577","297.984545933691","331.055446210143","336.279708489278","435.909847986962","546.895592886849","806.716285786088","924.223701861674","1024.08181964372","1177.63195486617","1438.2827164955","1760.33724142227","2174.31746992706","2205.97010226921","2176.91679568176","2274.77461614737","2424.24873184853","2535.85851741111","2705.94603032037","2755.0137601406","2372.58499197887","2175.09352276189","2364.54987875943","1699.85651058312","1743.34606877112","1773.82048306879","1479.60021499742","1424.64248422937","1572.83193698246","1587.64613767632","1563.50097349962","1555.19103253983","1727.33325088251","1702.78007949918","1742.55761030326","2056.26530251874","2549.95719297899","3038.74871341846","3391.36782568837","3845.84729635434","4786.5180703757","3771.28484363971","4349.56932474256","5271.59031215714","5309.82236863154","5360.70114645178","",
"East Asia & Pacific (developing only)","EAP","GDP per capita (current US$)","NY.GDP.PCAP.CD","89.8723530079028","79.0043854126968","71.4826822156731","74.9974235035564","84.975871448915","96.7861264709351","103.047876220494","97.39689657787","95.8405648596659","104.755223866055","113.626974446225","118.69707914138","131.272202082557","161.755653406768","179.024763957571","197.312492102485","197.160031944446","224.475905707333","214.710557814206","245.153736615266","279.681575986568","294.767940016463","302.12601212349","311.1886767579","331.315111626031","356.546873126881","348.178089770505","337.675874559572","370.997675641439","395.213528531885","417.465086299679","448.123754719222","494.196267792747","525.997594599801","625.969567558805","763.879650350703","866.7750309429","887.681953383281","802.059348655256","871.598692401021","951.000753835894","1002.94954200843","1098.84417750518","1230.69782659707","1415.37894226245","1623.11725255341","1936.29511399299","2426.90052686997","3045.70392521905","3262.1644420255","3885.28537549076","4699.8135313893","5187.44194636508","5690.26372868631","",
"East Asia & Pacific (all income levels)","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","147.209522710929","147.376066123076","148.744494406697","161.569854067208","181.571371778207","197.501455442648","215.19444845008","227.712575550034","245.031545559752","274.95297330412","314.082503495037","339.552490357652","411.414076157074","530.78490372416","598.435113405435","642.968985001662","695.3365151822","816.461584953571","1014.72776522206","1086.25613062598","1157.67821488771","1260.31613644609","1213.2391177908","1266.47120908948","1337.28927319333","1395.63407571368","1789.67810170156","2058.65855473988","2439.05421132096","2514.44545383413","2593.93753394758","2879.68878177458","3101.91277077219","3430.12865890468","3781.86845431648","4220.06622444133","4010.24623256657","3808.82828562053","3356.91473347624","3710.12265776503","3967.68169467401","3656.43799950023","3685.90631816126","4020.13665728745","4473.90936948009","4726.01848730951","4978.74948138574","5537.11554479267","6339.96538912321","6469.24704760868","7459.92578528284","8559.49230644813","9085.04513716273","9115.98871034322","",
"Europe & Central Asia (developing only)","ECA","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410.92407477255","1469.31464616785","1605.43859145196","1828.42124821342","1689.16994601725","1640.3582844781","1683.79713176043","1416.6544128211","1612.26012455409","1648.4494826455","1718.16211788014","2030.77794895013","1854.63633530881","1869.81427993267","1699.6334070837","1982.40883222749","2512.74099770702","3188.3199122088","3884.36715534807","4462.01422270138","5634.20123220822","6679.17284280466","5526.46208291012","6198.22600597239","6878.66655551748","6930.49797421172","7351.54461483026","",
"Europe & Central Asia (all income levels)","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","649.960145058083","683.906488464534","738.94918074675","805.362656358901","881.746154949568","949.097899333503","1021.46477290367","1089.17728644798","1126.30431260456","1226.33251391907","1368.34970620478","1531.0242124875","1819.55500302185","2291.47235338975","2572.06124659677","2990.06846215191","3084.26544814727","3470.88561296203","4204.14935409765","5106.05639397887","5742.20239199919","5070.91459411138","4858.21627406888","4684.4100294437","4474.69117263374","4602.21473777393","6242.79338323102","7658.79356648506","8465.93843875096","8590.28580788783","10463.4301757583","10747.9534571334","11493.1452190026","10527.29264914","10995.7689027983","12552.7645891011","12784.4536938341","12090.1377441846","12376.3700694578","12216.7730245606","11497.3508406206","11598.9060063216","12666.9697503455","15411.1430945037","17918.9064651254","19019.3850570777","20529.4121663222","23917.5588178589","26161.3701456857","22932.601457494","23404.5624635063","25645.9512082305","24573.838867738","25497.2918244767","",
"Ecuador","ECU","GDP per capita (current US$)","NY.GDP.PCAP.CD","223.790968096163","210.80211882076","200.562059184533","211.088098918484","228.323843804479","457.924066224367","452.675872414316","462.195193753147","453.999113548006","531.600221903932","475.12303718435","444.31600295756","499.65822594913","593.503587237984","978.912804384605","1115.89244045268","1277.11942624592","1507.86552788077","1587.78299863143","1839.0450320843","2260.78366725681","2688.306366091","2395.60196157243","2011.12715909601","1934.45928388964","1913.52385932979","1666.93722899186","1480.87352396175","1352.40013241635","1404.97794828506","1505.32307060845","1639.68643374977","1707.26341334414","1747.67024620831","2050.31815443986","2159.13854129903","2182.70681711551","2386.70918925455","2323.55623904694","1598.83413018623","1462.32021017267","1914.44916617172","2191.0096061862","2442.26903615911","2704.66515451777","3012.75243735434","3337.40036280521","3574.87789273035","4255.85199472837","4236.77755532099","4636.69309766662","5199.66961556572","5655.94615480346","6002.88545889096","",
"Egypt, Arab Rep.","EGY","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","159.320164968037","162.112822426179","165.069921518283","176.256254444516","193.231033100251","211.392752216465","222.490227615297","230.962230105764","248.277459820102","228.035818482013","283.405305508241","324.184969425703","347.701429214889","345.300363572144","412.956609241005","509.937559718772","509.41496923034","544.618255676018","585.319017757819","622.943945093514","689.015628266901","696.095738214913","767.532243977341","648.839947841242","718.174507857317","765.584086077643","644.225620379639","717.06309671237","785.37137595363","861.636686448196","983.502060471","1088.63179997279","1243.16876351496","1323.7035901138","1393.45317336199","1509.58102008768","1452.766702548","1286.19227840384","1194.30681715135","1116.9251610186","1249.49326024669","1472.57054838432","1757.76048399699","2156.76296886681","2461.53085655598","2803.53296265274","2972.58351572603","3256.01846887917","3314.46292795644","",
